db_id,institution_code,collection_code,specimen_id,authority,taxonomy_notes,morphospecies,species,subgenus,genus,subtribe,tribe,subfamily,family,superfamily,infraorder,suborder,order,class,ncbi_may_edit,ncbi_search_success,ncbi_species,ncbi_id_rank,ncbi_taxid,variant_status,chimera_notes,traptype,dev_stage,site,locality,subregion,country,latitude,longitude,size,feeding_behaviour,habitat,habitat_stratum,authors,library,datasubmitter,projectname,genbank_accession,notes,contigname
GBDL01862,,,,,,,Cryptolestes pusillus,,Cryptolestes,,,,Laemophloeidae,Cucujoidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Cryptolestes pusillus,species,1173686,unconsidered species duplicate,,,,,,,,,,,,,,Li L. and Liu G. and Sun T. and Xin T. and Li M. and Zou Z. and Xia B. and Yi J.,,,,KT070713,,KT070713
GBDL01863,,,,,,,Cryptolestes ferrugineus,,Cryptolestes,,,,Laemophloeidae,Cucujoidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Cryptolestes ferrugineus,species,58000,unconsidered species duplicate,,,,,,,,,,,,,,Sun T.Y. and Li L. and Xin T. and Wang Y. and Xia B. and Sun T. and Que S. and Zou Z.,,,,KT182067,,KT182067
GBDL01864,,,,,,,Agrilus planipennis,,Agrilus,,,Agrilinae,Buprestidae,Buprestoidea,Elateriformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Agrilus planipennis,species,224129,unconsidered species duplicate,,,,,,,,,,,,,,Duan J. and Quan G. and Mittapalli O. and Cusson M. and Krell P.J. and Doucet D.,,,,KT363854,,KT363854
GBDL01865,,,,,,,Rhynchophorus ferrugineus,,Rhynchophorus,,,Dryophthorinae,Curculionidae,Curculionoidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Rhynchophorus ferrugineus,species,354439,unconsidered species duplicate,,,,,,,,,,,,,,,,,,KT428893,,KT428893
GBDL01866,,,,,,,Anoplophora chinensis,,Anoplophora,,Lamiini,Lamiinae,Cerambycidae,Chrysomeloidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Anoplophora chinensis,species,217632,unconsidered species duplicate,,,,,,,,,,,,,,Li W. and Yang X. and Qian L. and An Y. and Fang J. and Wu Y.,,,,KT726932,,KT726932
GBDL01867,BMNH,,845888,,,,Atrecus affinis,,Atrecus,,Othiini,Staphylininae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Atrecus affinis,species,347277,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780630,,KT780630
GBDL01868,BMNH,,742876,,,,Callicerus obscurus,,Callicerus,,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Callicerus obscurus,species,877884,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780636,,KT780636
GBDL01869,BMNH,,749215,,,,Dacrila fallax,,Dacrila,,Tachyusini,Aleocharinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Dacrila fallax,species,877962,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780642,,KT780642
GBDL01870,BMNH,,749756,,,,Euryusa optabilis,,Euryusa,,Bolitocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Euryusa optabilis,species,878090,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780647,,KT780647
GBDL01871,BMNH,,793940,,,,Gabronthus thermarum,,Gabronthus,,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Gabronthus thermarum,species,878093,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780649,,KT780649
GBDL01872,BMNH,,742968,,,,Liogluta microptera,,Liogluta,,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Liogluta microptera,species,866049,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780655,,KT780655
GBDL01873,BMNH,,677417,,,,Margarinotus merdarius,,Margarinotus,,Histerini,Histerinae,Histeridae,Histeroidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Margarinotus merdarius,species,878136,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780657,,KT780657
GBDL01874,BMNH,,793944,,,,Myrmecocephalus concinnus,,Myrmecocephalus,,Falagriini,Aleocharinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Myrmecocephalus concinnus,species,1143072,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780660,,KT780660
GBDL01875,BMNH,,669188,,,,Olophrum piceum,,Olophrum,,,Omaliinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Olophrum piceum,species,347416,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780666,,KT780666
GBDL01876,BMNH,,676873,,,,Oxypoda acuminata,,Oxypoda,,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Oxypoda acuminata,species,346815,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780667,,KT780667
GBDL01877,,,,,,,Phacomorphus fratyi,,Phacomorphus,,,Cholevinae,Leiodidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Phacomorphus fratyi,species,723369,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780668,,KT780668
GBDL01878,BMNH,,830648,,,,Rugilus geniculatus,,Rugilus,,,Paederinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Rugilus geniculatus,species,878974,unconsidered species duplicate,,,,,,,,,,,,,,Favreau E.A. and Linard B. and Vogler A.P.,,,,KT780671,,KT780671
